[94, True, [200, [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]]
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 20, T 98
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 3
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 27
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 46
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 52
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 73
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 21, T 92
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 23, T 20
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 23, T 26
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 23, T 59
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 23, T 86
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 24, T 49
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 24, T 89
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 25, T 64
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 26, T 28
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 26, T 29
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 26, T 51
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 26, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 26, T 90
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 27, T 1
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 27, T 12
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 27, T 34
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 27, T 41
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 27, T 95
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 28, T 18
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 28, T 58
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 29, T 13
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 29, T 18
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 29, T 40
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 29, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 29, T 98
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 30, T 14
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 30, T 16
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 30, T 76
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 30, T 77
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 30, T 91
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 31, T 9
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 31, T 16
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 31, T 76
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 31, T 97
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 32, T 29
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 32, T 81
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 33, T 31
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 33, T 83
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 18
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 47
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 62
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 74
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 76
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 34, T 100
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 35, T 5
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 35, T 16
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 35, T 31
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 35, T 91
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 0
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 5
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 14
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 20
